ID,ID_BOLETA,COD_ITEM,ITEM,PRECIO,EDAD,COD_GE,GENERO,DIA,MES,COD_DIST,DISTRITO
C0083,14,5,CAMISA,139,36,2,M,1,7,4,SAN_ISIDRO
C0084,15,16,PERFUME,435,39,1,F,7,6,3,SAN_BORJA
C0085,15,5,CAMISA,193,41,1,F,4,10,1,SURCO
C0086,15,22,PIJAMA,92,31,2,M,4,9,3,SAN_BORJA
C0087,16,20,SHORT,64,33,2,M,6,10,1,SURCO
C0088,16,16,PERFUME,243,29,1,F,7,11,1,SURCO
C0089,16,1,ZAPATOS,314,18,1,F,7,10,3,SAN_BORJA
C0090,16,10,SHORT,114,44,1,F,2,5,4,SAN_ISIDRO
C0091,16,1,ZAPATOS,249,35,1,F,2,9,3,SAN_BORJA
C0092,17,10,SHORT,84,23,2,M,2,1,4,SAN_ISIDRO
C0093,17,6,CARTERA,210,21,2,M,7,1,1,SURCO
C0094,17,4,BLUSA,123,36,2,F,4,10,2,LA_MOLINA
C0095,17,12,BUFANDA,56,45,1,F,1,5,1,SURCO
C0096,17,5,CAMISA,127,22,2,M,5,5,3,SAN_BORJA
C0097,17,2,MEDIAS,14,37,2,M,4,8,3,SAN_BORJA
C0098,17,8,CASACA,174,36,2,M,2,2,4,SAN_ISIDRO
C0099,18,12,BUFANDA,21,45,2,M,4,11,2,LA_MOLINA
C0100,18,18,RELOJ,448,26,1,F,6,6,1,SURCO
C0101,18,13,JEAN,106,19,2,M,7,3,3,SAN_BORJA
C0102,18,20,SHORT,111,26,2,M,5,8,3,SAN_BORJA
C0103,18,10,SHORT,78,30,2,M,7,6,3,SAN_BORJA
C0104,18,16,PERFUME,301,22,2,M,2,1,3,SAN_BORJA
C0105,19,7,PANTALON,84,32,2,M,6,3,2,LA_MOLINA
C0106,19,12,BUFANDA,45,34,2,M,5,1,3,SAN_BORJA
C0107,19,22,PIJAMA,107,36,1,F,1,12,1,SURCO
C0108,20,15,ZAPATILLAS,194,21,1,F,5,12,2,LA_MOLINA
C0109,20,18,RELOJ,250,34,1,F,5,5,2,LA_MOLINA
C0110,20,17,MOCHILA,203,37,1,F,6,9,2,LA_MOLINA
C0111,20,1,ZAPATOS,203,38,1,F,4,1,3,SAN_BORJA
C0112,20,6,CARTERA,181,20,1,F,2,8,4,SAN_ISIDRO
C0113,20,18,RELOJ,467,38,1,F,5,10,1,SURCO
C0114,20,14,GORRO,79,40,1,F,3,2,2,LA_MOLINA
C0115,21,21,POLO,74,42,1,F,4,1,4,SAN_ISIDRO
C0116,21,8,CASACA,202,22,1,F,7,10,1,SURCO
C0117,21,15,ZAPATILLAS,200,20,1,F,2,2,2,LA_MOLINA
C0118,22,15,ZAPATILLAS,197,42,1,F,3,10,3,SAN_BORJA
C0119,22,18,RELOJ,402,25,2,M,6,3,1,SURCO
C0120,22,15,ZAPATILLAS,228,30,2,M,6,5,2,LA_MOLINA
C0121,22,15,ZAPATILLAS,273,35,2,M,5,9,1,SURCO
C0122,22,13,JEAN,167,28,1,F,6,5,3,SAN_BORJA
C0123,22,20,SHORT,111,38,2,M,5,2,3,SAN_BORJA
C0124,22,19,BIKINI,198,31,1,F,1,3,3,SAN_BORJA
C0125,23,10,SHORT,83,28,2,M,1,7,4,SAN_ISIDRO
C0126,23,17,MOCHILA,202,29,1,F,1,7,4,SAN_ISIDRO
C0127,23,16,PERFUME,453,44,1,F,5,8,3,SAN_BORJA
C0128,23,10,SHORT,54,23,1,F,7,6,3,SAN_BORJA
C0129,23,9,ABRIGO,311,30,2,M,4,3,1,SURCO
C0130,23,13,JEAN,155,34,2,M,7,12,1,SURCO
C0131,24,2,MEDIAS,13,34,2,M,6,8,2,LA_MOLINA
C0132,24,5,CAMISA,182,35,2,M,1,9,1,SURCO
C0133,24,11,SANDALIAS,70,35,2,M,2,6,2,LA_MOLINA
C0134,24,2,MEDIAS,15,22,1,F,2,11,3,SAN_BORJA
C0135,24,18,RELOJ,280,19,2,M,7,1,2,LA_MOLINA
C0136,25,15,ZAPATILLAS,181,28,2,M,1,8,2,LA_MOLINA
C0137,25,13,JEAN,162,37,1,F,3,11,3,SAN_BORJA
C0138,25,2,MEDIAS,12,45,2,M,3,6,4,SAN_ISIDRO
C0139,25,9,ABRIGO,286,18,1,F,4,3,4,SAN_ISIDRO
C0140,25,22,PIJAMA,62,30,2,M,2,12,4,SAN_ISIDRO
C0141,26,9,ABRIGO,183,31,1,F,3,6,1,SURCO
C0142,26,15,ZAPATILLAS,218,31,1,F,4,12,3,SAN_BORJA
C0143,26,7,PANTALON,139,22,2,M,7,11,1,SURCO
C0144,27,14,GORRO,76,20,2,M,2,12,3,SAN_BORJA
C0145,27,4,BLUSA,106,23,1,F,4,1,2,LA_MOLINA
C0146,27,14,GORRO,80,20,1,F,7,5,2,LA_MOLINA
C0147,28,18,RELOJ,278,34,1,F,5,12,1,SURCO
C0148,28,9,ABRIGO,323,22,1,F,6,11,1,SURCO
C0149,28,17,MOCHILA,155,28,2,M,2,8,2,LA_MOLINA
C0150,28,12,BUFANDA,37,37,2,M,4,2,3,SAN_BORJA
C0151,28,10,SHORT,114,41,2,M,2,5,2,LA_MOLINA
C0152,28,16,PERFUME,190,29,2,M,7,7,2,LA_MOLINA
C0153,28,16,PERFUME,334,27,1,F,4,11,3,SAN_BORJA
C0154,28,5,CAMISA,92,19,1,F,3,11,2,LA_MOLINA
C0155,28,4,BLUSA,110,21,1,F,6,2,4,SAN_ISIDRO
C0156,29,10,SHORT,118,38,2,M,6,7,2,LA_MOLINA
C0157,29,3,FALDA,50,44,1,F,7,8,1,SURCO
C0158,29,14,GORRO,80,27,2,M,4,2,2,LA_MOLINA
C0159,29,12,BUFANDA,21,28,1,F,6,4,2,LA_MOLINA
C0160,29,18,RELOJ,265,20,2,M,2,6,1,SURCO
C0161,29,1,ZAPATOS,323,43,2,M,3,6,1,SURCO
C0162,30,20,SHORT,47,28,2,M,3,12,2,LA_MOLINA
C0163,30,10,SHORT,101,35,2,M,2,7,1,SURCO
C0164,30,2,MEDIAS,15,37,2,M,1,4,4,SAN_ISIDRO
C0165,30,15,ZAPATILLAS,259,21,1,F,5,7,1,SURCO
C0166,30,13,JEAN,194,31,1,F,6,4,1,SURCO
C0167,30,10,SHORT,109,44,1,F,2,12,1,SURCO
C0168,30,19,BIKINI,82,36,1,F,5,4,3,SAN_BORJA
C0169,30,18,RELOJ,270,34,1,F,2,8,2,LA_MOLINA
C0170,30,20,SHORT,71,43,1,F,3,4,2,LA_MOLINA
C0171,31,10,SHORT,97,27,1,F,5,5,1,SURCO
C0172,31,15,ZAPATILLAS,234,26,1,F,3,10,1,SURCO
C0173,31,9,ABRIGO,286,21,1,F,1,3,3,SAN_BORJA
C0174,31,6,CARTERA,218,32,2,M,3,9,1,SURCO
C0175,31,5,CAMISA,92,45,2,M,6,6,3,SAN_BORJA
C0176,31,6,CARTERA,225,40,2,M,1,5,4,SAN_ISIDRO
C0177,32,3,FALDA,97,39,2,F,1,6,2,LA_MOLINA
C0178,32,1,ZAPATOS,192,29,1,F,2,7,1,SURCO
C0179,33,4,BLUSA,74,44,1,F,2,5,2,LA_MOLINA
C0180,33,1,ZAPATOS,335,45,1,F,4,11,4,SAN_ISIDRO
C0181,34,3,FALDA,75,44,1,F,1,3,4,SAN_ISIDRO
C0182,34,10,SHORT,52,32,2,M,4,7,2,LA_MOLINA
C0183,34,14,GORRO,74,20,2,M,1,8,1,SURCO
C0184,34,2,MEDIAS,10,30,2,M,2,5,4,SAN_ISIDRO
C0185,34,18,RELOJ,398,35,1,F,1,8,3,SAN_BORJA
C0186,34,6,CARTERA,208,39,1,F,5,2,1,SURCO
C0187,34,18,RELOJ,268,22,1,F,4,3,3,SAN_BORJA
C0188,34,4,BLUSA,83,20,1,F,6,12,1,SURCO
C0189,34,7,PANTALON,227,29,1,F,4,12,1,SURCO
C0190,34,1,ZAPATOS,188,32,1,F,7,8,4,SAN_ISIDRO
C0191,34,21,POLO,115,21,1,F,4,12,2,LA_MOLINA
C0192,35,19,BIKINI,105,44,2,F,5,11,1,SURCO
C0193,35,9,ABRIGO,257,22,1,F,4,3,1,SURCO
C0194,35,1,ZAPATOS,323,26,2,M,1,6,4,SAN_ISIDRO
C0195,35,8,CASACA,155,41,2,M,3,2,3,SAN_BORJA
C0196,35,17,MOCHILA,140,36,1,F,1,11,1,SURCO
C0197,35,16,PERFUME,308,38,1,F,3,7,2,LA_MOLINA
C0198,35,20,SHORT,48,32,2,M,2,2,4,SAN_ISIDRO
C0199,36,21,POLO,75,32,2,M,3,4,2,LA_MOLINA
C0200,36,3,FALDA,100,32,2,F,5,7,1,SURCO
C0201,36,1,ZAPATOS,191,33,1,F,5,6,1,SURCO
C0202,36,15,ZAPATILLAS,245,36,2,M,7,3,3,SAN_BORJA
C0203,36,14,GORRO,68,20,1,F,1,4,4,SAN_ISIDRO
C0204,37,2,MEDIAS,15,22,1,F,2,8,2,LA_MOLINA
C0205,37,20,SHORT,90,23,2,M,4,12,2,LA_MOLINA
C0206,37,1,ZAPATOS,310,25,2,M,2,3,2,LA_MOLINA
C0207,37,7,PANTALON,95,44,2,M,1,9,4,SAN_ISIDRO
C0208,37,9,ABRIGO,436,36,2,M,4,9,3,SAN_BORJA
C0209,38,21,POLO,123,42,2,M,3,6,3,SAN_BORJA
C0210,38,13,JEAN,174,40,1,F,6,6,1,SURCO
C0211,38,22,PIJAMA,114,38,1,F,5,11,3,SAN_BORJA
C0212,38,2,MEDIAS,15,41,2,M,4,5,4,SAN_ISIDRO
C0213,38,10,SHORT,107,18,2,M,6,1,3,SAN_BORJA
C0214,38,17,MOCHILA,154,32,2,M,7,8,3,SAN_BORJA
C0215,39,12,BUFANDA,60,29,2,M,7,9,2,LA_MOLINA
C0216,39,7,PANTALON,146,30,2,M,5,9,3,SAN_BORJA
C0217,39,3,FALDA,59,39,2,F,6,1,1,SURCO
C0218,39,21,POLO,114,43,2,M,4,7,3,SAN_BORJA
C0219,39,2,MEDIAS,10,42,1,F,3,5,4,SAN_ISIDRO
C0220,39,10,SHORT,96,26,1,F,3,5,1,SURCO
C0221,40,16,PERFUME,370,43,1,F,7,12,1,SURCO
C0222,40,22,PIJAMA,77,40,2,M,1,11,2,LA_MOLINA
C0223,40,1,ZAPATOS,315,23,1,F,5,9,2,LA_MOLINA
C0224,40,17,MOCHILA,215,26,2,M,4,6,3,SAN_BORJA
C0225,40,8,CASACA,134,22,2,M,5,12,2,LA_MOLINA
C0226,40,18,RELOJ,398,18,2,M,1,4,1,SURCO
C0227,40,19,BIKINI,154,21,1,F,1,5,2,LA_MOLINA
C0228,40,2,MEDIAS,10,34,1,F,6,5,3,SAN_BORJA
C0229,41,3,FALDA,84,44,1,F,7,7,1,SURCO
C0230,41,15,ZAPATILLAS,216,33,1,F,4,7,4,SAN_ISIDRO
C0231,41,8,CASACA,149,25,1,F,1,9,2,LA_MOLINA
C0232,42,6,CARTERA,249,34,1,F,1,8,4,SAN_ISIDRO
C0233,42,14,GORRO,89,18,1,F,4,8,3,SAN_BORJA
C0234,42,4,BLUSA,76,21,2,F,6,1,4,SAN_ISIDRO
C0235,42,9,ABRIGO,238,38,1,F,2,11,4,SAN_ISIDRO
C0236,42,14,GORRO,62,41,1,F,3,7,2,LA_MOLINA
C0237,42,11,SANDALIAS,41,20,1,F,7,8,1,SURCO
C0238,42,21,POLO,92,34,2,M,1,2,2,LA_MOLINA
C0239,43,13,JEAN,168,25,1,F,2,3,3,SAN_BORJA
C0240,43,8,CASACA,100,29,2,M,1,6,4,SAN_ISIDRO
C0241,43,19,BIKINI,101,44,2,F,7,3,2,LA_MOLINA
C0242,44,6,CARTERA,204,23,2,M,6,9,2,LA_MOLINA
C0243,45,4,BLUSA,115,22,1,F,1,2,2,LA_MOLINA
C0244,45,5,CAMISA,192,34,1,F,4,1,4,SAN_ISIDRO
C0245,45,5,CAMISA,195,32,1,F,5,2,3,SAN_BORJA
C0246,45,18,RELOJ,451,19,2,M,6,11,1,SURCO
C0247,45,1,ZAPATOS,230,32,2,M,3,1,4,SAN_ISIDRO
C0248,45,8,CASACA,126,45,1,F,2,2,3,SAN_BORJA
C0249,45,14,GORRO,80,45,1,F,3,5,2,LA_MOLINA
C0250,45,2,MEDIAS,14,40,2,M,3,4,1,SURCO
C0251,46,3,FALDA,51,28,2,F,1,10,4,SAN_ISIDRO
C0252,46,19,BIKINI,126,26,1,F,7,9,2,LA_MOLINA
C0253,46,10,SHORT,66,38,2,M,7,9,1,SURCO
C0254,46,20,SHORT,83,27,1,F,2,12,3,SAN_BORJA
C0255,46,16,PERFUME,222,35,2,M,3,12,1,SURCO
C0256,46,22,PIJAMA,65,27,2,M,7,11,1,SURCO
C0257,46,22,PIJAMA,68,24,1,F,2,11,4,SAN_ISIDRO
C0258,47,2,MEDIAS,13,45,1,F,3,4,4,SAN_ISIDRO
C0259,47,22,PIJAMA,108,22,1,F,3,12,2,LA_MOLINA
C0260,47,12,BUFANDA,36,18,2,M,2,12,3,SAN_BORJA
C0261,47,4,BLUSA,69,44,2,F,7,8,4,SAN_ISIDRO
C0262,48,20,SHORT,98,25,2,M,3,7,1,SURCO
C0263,48,8,CASACA,192,36,1,F,5,12,2,LA_MOLINA
C0264,48,11,SANDALIAS,37,27,2,M,6,4,3,SAN_BORJA
C0265,48,20,SHORT,104,27,1,F,7,10,3,SAN_BORJA
C0266,48,1,ZAPATOS,238,42,1,F,5,8,4,SAN_ISIDRO
C0267,48,4,BLUSA,138,38,2,F,7,6,2,LA_MOLINA
C0268,48,16,PERFUME,234,18,1,F,3,10,4,SAN_ISIDRO
C0269,48,10,SHORT,116,42,2,M,1,11,1,SURCO
C0270,49,7,PANTALON,125,29,1,F,2,10,4,SAN_ISIDRO
C0271,49,17,MOCHILA,152,19,2,M,1,2,2,LA_MOLINA
C0272,49,22,PIJAMA,72,44,2,M,3,12,1,SURCO
C0273,49,9,ABRIGO,261,25,1,F,6,5,2,LA_MOLINA
C0274,49,9,ABRIGO,419,30,1,F,1,5,3,SAN_BORJA
C0275,49,10,SHORT,60,40,1,F,7,1,4,SAN_ISIDRO
C0276,49,5,CAMISA,160,27,1,F,3,8,1,SURCO
C0277,49,3,FALDA,54,39,2,F,4,9,3,SAN_BORJA
C0278,49,11,SANDALIAS,24,18,2,M,1,6,4,SAN_ISIDRO
C0279,50,15,ZAPATILLAS,222,31,2,M,2,6,4,SAN_ISIDRO
C0280,50,15,ZAPATILLAS,236,25,2,M,5,2,3,SAN_BORJA
C0281,50,6,CARTERA,228,45,2,M,4,7,2,LA_MOLINA
C0282,50,17,MOCHILA,173,22,2,M,6,5,4,SAN_ISIDRO
C0283,51,7,PANTALON,163,38,1,F,4,8,4,SAN_ISIDRO
C0284,51,3,FALDA,94,28,2,F,4,7,3,SAN_BORJA
C0285,51,8,CASACA,97,40,1,F,4,9,2,LA_MOLINA
C0286,51,8,CASACA,157,24,1,F,1,11,4,SAN_ISIDRO
C0287,51,1,ZAPATOS,223,19,1,F,5,2,3,SAN_BORJA
C0288,52,16,PERFUME,479,36,1,F,3,11,2,LA_MOLINA
C0289,52,3,FALDA,94,28,1,F,4,11,4,SAN_ISIDRO
C0290,52,1,ZAPATOS,300,42,2,M,2,1,4,SAN_ISIDRO
C0291,52,8,CASACA,160,43,1,F,5,6,4,SAN_ISIDRO
C0292,52,3,FALDA,74,38,1,F,7,5,2,LA_MOLINA
C0293,52,6,CARTERA,229,33,2,M,3,9,1,SURCO
C0294,52,6,CARTERA,194,25,2,M,4,11,1,SURCO
C0295,53,21,POLO,111,27,2,M,6,8,4,SAN_ISIDRO
C0296,53,20,SHORT,86,26,1,F,1,11,1,SURCO
C0297,53,20,SHORT,58,28,2,M,2,8,4,SAN_ISIDRO
C0298,53,18,RELOJ,383,21,2,M,3,5,4,SAN_ISIDRO
C0299,53,2,MEDIAS,13,43,1,F,2,6,1,SURCO
C0300,53,12,BUFANDA,20,28,2,M,4,10,3,SAN_BORJA
C0301,53,18,RELOJ,427,32,2,M,5,7,2,LA_MOLINA
C0302,53,3,FALDA,94,21,2,F,2,4,3,SAN_BORJA
C0303,53,12,BUFANDA,56,42,1,F,5,5,2,LA_MOLINA
C0304,53,14,GORRO,78,28,1,F,2,5,4,SAN_ISIDRO
C0305,54,16,PERFUME,319,32,2,M,2,7,4,SAN_ISIDRO
C0306,54,7,PANTALON,93,23,2,M,6,11,4,SAN_ISIDRO
C0307,54,10,SHORT,81,29,2,M,5,7,1,SURCO
C0308,54,5,CAMISA,142,34,1,F,4,3,3,SAN_BORJA
C0309,54,13,JEAN,139,31,1,F,3,5,1,SURCO
C0310,54,16,PERFUME,222,27,2,M,7,4,2,LA_MOLINA
C0311,54,8,CASACA,129,18,1,F,7,5,1,SURCO
C0312,54,10,SHORT,59,26,2,M,4,12,2,LA_MOLINA
C0313,55,16,PERFUME,499,22,2,M,4,8,1,SURCO
C0314,55,12,BUFANDA,59,25,2,M,6,10,4,SAN_ISIDRO
C0315,55,12,BUFANDA,23,18,2,M,1,10,2,LA_MOLINA
C0316,55,13,JEAN,93,32,1,F,6,7,1,SURCO
C0317,56,11,SANDALIAS,77,41,2,M,2,8,3,SAN_BORJA
C0318,56,4,BLUSA,93,25,1,F,2,7,2,LA_MOLINA
C0319,56,19,BIKINI,89,34,1,F,1,11,3,SAN_BORJA
C0320,56,11,SANDALIAS,43,35,2,M,6,3,3,SAN_BORJA
C0321,56,6,CARTERA,212,24,1,F,7,4,3,SAN_BORJA
C0322,57,21,POLO,58,32,2,M,5,9,4,SAN_ISIDRO
C0323,57,20,SHORT,105,43,2,M,2,8,1,SURCO
C0324,57,1,ZAPATOS,348,18,2,M,4,4,3,SAN_BORJA
C0325,57,12,BUFANDA,48,30,1,F,2,3,1,SURCO
C0326,57,21,POLO,130,44,2,M,4,2,1,SURCO
C0327,58,19,BIKINI,155,20,1,F,6,9,3,SAN_BORJA
C0328,58,8,CASACA,179,26,2,M,2,10,1,SURCO
C0329,58,10,SHORT,120,43,2,M,7,1,4,SAN_ISIDRO
C0330,58,10,SHORT,47,20,2,M,3,2,3,SAN_BORJA
C0331,58,3,FALDA,86,43,2,F,1,6,1,SURCO
C0332,58,8,CASACA,172,43,2,M,4,6,3,SAN_BORJA
C0333,58,5,CAMISA,200,37,2,M,5,1,1,SURCO
C0334,58,10,SHORT,120,24,2,M,6,1,3,SAN_BORJA
C0335,58,15,ZAPATILLAS,222,39,1,F,3,11,1,SURCO
C0336,58,19,BIKINI,164,32,1,F,6,6,1,SURCO
C0337,58,13,JEAN,96,41,1,F,4,5,2,LA_MOLINA
C0338,58,17,MOCHILA,144,38,1,F,2,3,3,SAN_BORJA
C0339,59,15,ZAPATILLAS,216,32,1,F,1,8,1,SURCO
C0340,59,3,FALDA,77,22,2,F,6,12,1,SURCO
C0341,59,4,BLUSA,169,45,2,F,5,2,4,SAN_ISIDRO
C0342,59,19,BIKINI,145,27,2,F,7,10,3,SAN_BORJA
C0343,59,9,ABRIGO,317,32,2,M,1,12,1,SURCO
C0344,59,16,PERFUME,282,28,2,M,3,11,3,SAN_BORJA
C0345,59,14,GORRO,60,36,2,M,3,6,3,SAN_BORJA
C0346,59,17,MOCHILA,220,41,2,M,7,9,2,LA_MOLINA
C0347,59,6,CARTERA,203,43,1,F,4,2,1,SURCO
C0348,60,16,PERFUME,261,42,1,F,1,8,3,SAN_BORJA
C0349,60,19,BIKINI,135,19,1,F,4,12,4,SAN_ISIDRO
C0350,60,12,BUFANDA,25,43,2,M,2,10,1,SURCO
C0351,60,2,MEDIAS,11,24,2,M,5,12,1,SURCO
C0352,60,22,PIJAMA,78,26,2,M,2,7,3,SAN_BORJA
C0353,61,8,CASACA,152,32,1,F,3,11,4,SAN_ISIDRO
C0354,61,13,JEAN,109,22,1,F,1,10,2,LA_MOLINA
C0355,61,6,CARTERA,220,43,2,M,6,4,3,SAN_BORJA
C0356,61,21,POLO,113,21,2,M,4,3,1,SURCO
C0357,61,21,POLO,118,27,2,M,2,4,4,SAN_ISIDRO
C0358,61,11,SANDALIAS,23,21,2,M,1,5,2,LA_MOLINA
C0359,61,11,SANDALIAS,37,32,2,M,6,4,3,SAN_BORJA
C0360,61,12,BUFANDA,41,42,2,M,1,5,1,SURCO
C0361,62,17,MOCHILA,142,28,1,F,6,12,1,SURCO
C0362,62,14,GORRO,66,36,2,M,7,7,4,SAN_ISIDRO
C0363,62,16,PERFUME,467,32,1,F,6,12,1,SURCO
C0364,62,9,ABRIGO,415,39,2,M,6,2,4,SAN_ISIDRO
C0365,63,3,FALDA,102,18,1,F,3,4,1,SURCO
C0366,63,11,SANDALIAS,53,24,2,M,3,9,2,LA_MOLINA
C0367,63,10,SHORT,103,18,2,M,4,6,1,SURCO
C0368,63,15,ZAPATILLAS,215,32,2,M,2,2,3,SAN_BORJA
C0369,64,14,GORRO,60,22,1,F,3,7,4,SAN_ISIDRO
C0370,65,19,BIKINI,166,20,1,F,1,2,1,SURCO
C0371,65,22,PIJAMA,99,33,1,F,6,3,2,LA_MOLINA
C0372,66,19,BIKINI,190,28,1,F,5,7,1,SURCO
C0373,66,7,PANTALON,195,31,1,F,3,2,3,SAN_BORJA
C0374,66,18,RELOJ,493,26,2,M,6,12,3,SAN_BORJA
C0375,66,14,GORRO,87,31,2,M,5,5,2,LA_MOLINA
C0376,67,18,RELOJ,451,35,2,M,7,1,2,LA_MOLINA
C0377,67,4,BLUSA,68,24,1,F,7,12,2,LA_MOLINA
C0378,67,4,BLUSA,112,36,2,F,7,5,4,SAN_ISIDRO
